,number,cluster
MRPL37 (ENSG00000116221),0,0.0
GALNT3 (ENSG00000115339),1,0.0
GALNT2 (ENSG00000143641),2,0.0
RBM7 (ENSG00000076053),3,0.0
RBM8A (ENSG00000265241),4,0.0
GALNT14 (ENSG00000158089),5,0.0
GALNT13 (ENSG00000144278),6,0.0
GALNT12 (ENSG00000119514),7,0.0
RBMX2 (ENSG00000134597),8,0.0
RBMXL1 (ENSG00000213516),9,0.0
GALNT1 (ENSG00000141429),10,0.0
RBP7 (ENSG00000162444),11,0.0
RBPJ (ENSG00000168214),12,0.0
RBPMS (ENSG00000157110),13,0.0
RBM47 (ENSG00000163694),14,0.0
RBPMS-AS1 (ENSG00000254109),15,0.0
RBSN (ENSG00000131381),16,0.0
GAL3ST3 (ENSG00000175229),17,0.0
GAL3ST1 (ENSG00000128242),18,0.0
GAL (ENSG00000069482),19,0.0
RBX1 (ENSG00000100387),20,0.0
GADD45GIP1 (ENSG00000179271),21,0.0
RC3H1 (ENSG00000135870),22,0.0
RC3H2 (ENSG00000056586),23,0.0
RCAN2 (ENSG00000172348),24,0.0
RCAN3 (ENSG00000117602),25,0.0
GAD1 (ENSG00000128683),26,0.0
GABRR1 (ENSG00000146276),27,0.0
GABRQ (ENSG00000268089),28,0.0
RBPMS2 (ENSG00000166831),29,0.0
RCBTB1 (ENSG00000136144),30,0.0
GALNT6 (ENSG00000139629),31,0.0
RBM45 (ENSG00000155636),32,0.0
RBFOX3 (ENSG00000167281),33,0.0
GAS8 (ENSG00000141013),34,0.0
GAS6-AS2 (ENSG00000272695),35,0.0
RBM12 (ENSG00000244462),36,0.0
RBM12B (ENSG00000183808),37,0.0
RBM14 (ENSG00000239306),38,0.0
RBM15 (ENSG00000162775),39,0.0
RBM15B (ENSG00000259956),40,0.0
GART (ENSG00000159131),41,0.0
GARS (ENSG00000106105),42,0.0
RBM17 (ENSG00000134453),43,0.0
GAREM2 (ENSG00000157833),44,0.0
GAREM1 (ENSG00000141441),45,0.0
GALNT7 (ENSG00000109586),46,0.0
GAR1 (ENSG00000109534),47,0.0
RBM18 (ENSG00000119446),48,0.0
RBM19 (ENSG00000122965),49,0.0
RBM25 (ENSG00000119707),50,0.0
RBM26 (ENSG00000139746),51,0.0
GANC (ENSG00000214013),52,0.0
GANAB (ENSG00000089597),53,0.0
GAN (ENSG00000261609),54,0.0
RBM27 (ENSG00000091009),55,0.0
RBM28 (ENSG00000106344),56,0.0
GALR2 (ENSG00000182687),57,0.0
RBM34 (ENSG00000188739),58,0.0
RBM38 (ENSG00000132819),59,0.0
RBM39 (ENSG00000131051),60,0.0
GAPVD1 (ENSG00000165219),61,0.0
RCC1 (ENSG00000180198),62,0.0
RCC2 (ENSG00000179051),63,0.0
GABRE (ENSG00000102287),64,0.0
REPS1 (ENSG00000135597),65,0.0
FYCO1 (ENSG00000163820),66,0.0
FXYD7 (ENSG00000221946),67,0.0
REPS2 (ENSG00000169891),68,0.0
FXYD5 (ENSG00000089327),69,0.0
RER1 (ENSG00000157916),70,0.0
RET (ENSG00000165731),71,0.0
REXO1 (ENSG00000079313),72,0.0
FXR1 (ENSG00000114416),73,0.0
FXN (ENSG00000165060),74,0.0
FUZ (ENSG00000010361),75,0.0
FUT9 (ENSG00000172461),76,0.0
FUT8-AS1 (ENSG00000276116),77,0.0
RELL2 (ENSG00000164620),78,0.0
REXO2 (ENSG00000076043),79,0.0
FUT2 (ENSG00000176920),80,0.0
REXO4 (ENSG00000148300),81,0.0
FUT10 (ENSG00000172728),82,0.0
FUT1 (ENSG00000174951),83,0.0
FUS (ENSG00000089280),84,0.0
RFC1 (ENSG00000035928),85,0.0
FUOM (ENSG00000148803),86,0.0
RFC2 (ENSG00000049541),87,0.0
FUNDC1 (ENSG00000069509),88,0.0
RFC3 (ENSG00000133119),89,0.0
FUCA2 (ENSG00000001036),90,0.0
FUCA1 (ENSG00000179163),91,0.0
FUBP3 (ENSG00000107164),92,0.0
FUT4 (ENSG00000196371),93,0.0
RELL1 (ENSG00000181826),94,0.0
RELB (ENSG00000104856),95,0.0
FZD5 (ENSG00000163251),96,0.0
GABRB3 (ENSG00000166206),97,0.0
RCE1 (ENSG00000173653),98,0.0
RCHY1 (ENSG00000163743),99,0.0
GABRA5 (ENSG00000186297),100,0.0
RCL1 (ENSG00000120158),101,0.0
GABRA3 (ENSG00000011677),102,0.0
GABRA1 (ENSG00000022355),103,0.0
RDH11 (ENSG00000072042),104,0.0
RDH12 (ENSG00000139988),105,0.0
GABPA (ENSG00000154727),106,0.0
GABBR2 (ENSG00000136928),107,0.0
GABBR1 (ENSG00000204681),108,0.0
RDH13 (ENSG00000160439),109,0.0
RDH14 (ENSG00000240857),110,0.0
RDX (ENSG00000137710),111,0.0
RECK (ENSG00000122707),112,0.0
GAB1 (ENSG00000109458),113,0.0
RECQL (ENSG00000004700),114,0.0
RECQL4 (ENSG00000160957),115,0.0
G6PC3 (ENSG00000141349),116,0.0
G3BP2 (ENSG00000138757),117,0.0
G3BP1 (ENSG00000145907),118,0.0
G2E3 (ENSG00000092140),119,0.0
REEP2 (ENSG00000132563),120,0.0
REEP3 (ENSG00000165476),121,0.0
REEP5 (ENSG00000129625),122,0.0
FZD8 (ENSG00000177283),123,0.0
FZD7 (ENSG00000155760),124,0.0
REG1A (ENSG00000115386),125,0.0
RBCK1 (ENSG00000125826),126,0.0
RBBP8 (ENSG00000101773),127,0.0
RBBP6 (ENSG00000122257),128,0.0
RBBP5 (ENSG00000117222),129,0.0
GHRHR (ENSG00000106128),130,0.0
RAG1 (ENSG00000166349),131,0.0
RAI2 (ENSG00000131831),132,0.0
RALA (ENSG00000006451),133,0.0
RALBP1 (ENSG00000017797),134,0.0
GH2 (ENSG00000136487),135,0.0
RALGAPA2 (ENSG00000188559),136,0.0
RALGAPB (ENSG00000170471),137,0.0
GGT1 (ENSG00000100031),138,0.0
GGPS1 (ENSG00000152904),139,0.0
RALGPS1 (ENSG00000136828),140,0.0
RALGPS2 (ENSG00000116191),141,0.0
RALY-AS1 (ENSG00000228265),142,0.0
GHRL (ENSG00000157017),143,0.0
GGCX (ENSG00000115486),144,0.0
RAN (ENSG00000132341),145,0.0
GGA3 (ENSG00000125447),146,0.0
RANBP1 (ENSG00000099901),147,0.0
RANBP17 (ENSG00000204764),148,0.0
RANBP2 (ENSG00000153201),149,0.0
RANGAP1 (ENSG00000100401),150,0.0
RANGRF (ENSG00000108961),151,0.0
GFPT2 (ENSG00000131459),152,0.0
GFPT1 (ENSG00000198380),153,0.0
GFOD2 (ENSG00000141098),154,0.0
GFOD1 (ENSG00000145990),155,0.0
RAP1A (ENSG00000116473),156,0.0
RAP1B (ENSG00000127314),157,0.0
GGCT (ENSG00000006625),158,0.0
GHRLOS (ENSG00000240288),159,0.0
GID4 (ENSG00000141034),160,0.0
GID8 (ENSG00000101193),161,0.0
GK (ENSG00000198814),162,0.0
GJC3 (ENSG00000176402),163,0.0
GJC1 (ENSG00000182963),164,0.0
GJB7 (ENSG00000164411),165,0.0
RAD17 (ENSG00000152942),166,0.0
GJB5 (ENSG00000189280),167,0.0
RAD18 (ENSG00000070950),168,0.0
RAD21 (ENSG00000164754),169,0.0
RAD50 (ENSG00000113522),170,0.0
RAD51 (ENSG00000051180),171,0.0
GJA3 (ENSG00000121743),172,0.0
GJA1 (ENSG00000152661),173,0.0
RAD51AP1 (ENSG00000111247),174,0.0
GIT1 (ENSG00000108262),175,0.0
RAD51C (ENSG00000108384),176,0.0
RAD51D (ENSG00000185379),177,0.0
GIPC2 (ENSG00000137960),178,0.0
GIPC1 (ENSG00000123159),179,0.0
GIP (ENSG00000159224),180,0.0
GINS4 (ENSG00000147536),181,0.0
RAD52 (ENSG00000002016),182,0.0
GINS1 (ENSG00000101003),183,0.0
RAD54B (ENSG00000197275),184,0.0
GIN1 (ENSG00000145723),185,0.0
RAD54L (ENSG00000085999),186,0.0
RAD54L2 (ENSG00000164080),187,0.0
RAF1 (ENSG00000132155),188,0.0
GIGYF2 (ENSG00000204120),189,0.0
GIGYF1 (ENSG00000146830),190,0.0
GFER (ENSG00000127554),191,0.0
FUBP1 (ENSG00000162613),192,0.0
GET4 (ENSG00000239857),193,0.0
GEMIN8 (ENSG00000046647),194,0.0
RASEF (ENSG00000165105),195,0.0
RASGEF1A (ENSG00000198915),196,0.0
GCH1 (ENSG00000131979),197,0.0
RASGRF2 (ENSG00000113319),198,0.0
RASGRP1 (ENSG00000172575),199,0.0
GCDH (ENSG00000105607),200,0.0
GCC1 (ENSG00000179562),201,0.0
GCAT (ENSG00000100116),202,0.0
GCA (ENSG00000115271),203,0.0
GBX2 (ENSG00000168505),204,0.0
RASGRP2 (ENSG00000068831),205,0.0
RASIP1 (ENSG00000105538),206,0.0
RASSF1-AS1 (ENSG00000281358),207,0.0
GCLC (ENSG00000001084),208,0.0
RASSF2 (ENSG00000101265),209,0.0
RASSF8 (ENSG00000123094),210,0.0
GBA2 (ENSG00000070610),211,0.0
GBA (ENSG00000177628),212,0.0
RAVER1 (ENSG00000161847),213,0.0
RAVER2 (ENSG00000162437),214,0.0
RB1CC1 (ENSG00000023287),215,0.0
GATC (ENSG00000257218),216,0.0
GATB (ENSG00000059691),217,0.0
GATAD2B (ENSG00000143614),218,0.0
GATAD2A (ENSG00000167491),219,0.0
GATAD1 (ENSG00000157259),220,0.0
RBAK (ENSG00000146587),221,0.0
RBAK-RBAKDN (ENSG00000272968),222,0.0
RASSF3 (ENSG00000153179),223,0.0
GCLM (ENSG00000023909),224,0.0
GCN1 (ENSG00000089154),225,0.0
RASAL3 (ENSG00000105122),226,0.0
GEMIN7 (ENSG00000142252),227,0.0
GEMIN6 (ENSG00000152147),228,0.0
RAP1GAP (ENSG00000076864),229,0.0
GEMIN2 (ENSG00000092208),230,0.0
RAP1GAP2 (ENSG00000132359),231,0.0
RAP2A (ENSG00000125249),232,0.0
RAP2B (ENSG00000181467),233,0.0
RAP2C (ENSG00000123728),234,0.0
GDPD2 (ENSG00000130055),235,0.0
RAPGEF1 (ENSG00000107263),236,0.0
RAPGEF2 (ENSG00000109756),237,0.0
RAPGEF5 (ENSG00000136237),238,0.0
RAPGEF6 (ENSG00000158987),239,0.0
RAPGEFL1 (ENSG00000108352),240,0.0
RAPH1 (ENSG00000173166),241,0.0
RARRES2 (ENSG00000106538),242,0.0
RARS (ENSG00000113643),243,0.0
RASA1 (ENSG00000145715),244,0.0
GDF3 (ENSG00000184344),245,0.0
RASA2 (ENSG00000155903),246,0.0
RASAL1 (ENSG00000111344),247,0.0
GDE1 (ENSG00000006007),248,0.0
RASAL2 (ENSG00000075391),249,0.0
RASAL2-AS1 (ENSG00000224687),250,0.0
GDAP1 (ENSG00000104381),251,0.0
GDA (ENSG00000119125),252,0.0
GCSH (ENSG00000140905),253,0.0
GCNT4 (ENSG00000176928),254,0.0
GCNT2 (ENSG00000111846),255,0.0
GEN1 (ENSG00000178295),256,0.0
RFC4 (ENSG00000163918),257,0.0
FTSJ3 (ENSG00000108592),258,0.0
FTSJ2 (ENSG00000122687),259,0.0
FIBCD1 (ENSG00000130720),260,0.0
RNGTT (ENSG00000111880),261,0.0
RNLS (ENSG00000184719),262,0.0
RNMT (ENSG00000101654),263,0.0
RNMTL1 (ENSG00000171861),264,0.0
FHDC1 (ENSG00000137460),265,0.0
ROCK1 (ENSG00000067900),266,0.0
FH (ENSG00000091483),267,0.0
FGR (ENSG00000000938),268,0.0
ROMO1 (ENSG00000125995),269,0.0
ROR1 (ENSG00000185483),270,0.0
RORB (ENSG00000198963),271,0.0
FGFR4 (ENSG00000160867),272,0.0
RNF8 (ENSG00000112130),273,0.0
FGFR2 (ENSG00000066468),274,0.0
FGFR1OP (ENSG00000213066),275,0.0
FGFR1 (ENSG00000077782),276,0.0
FGFBP3 (ENSG00000174721),277,0.0
RP1-197B17.3 (ENSG00000257433),278,0.0
RP1-198K11.5 (ENSG00000275457),279,0.0
RP1-223E5.4 (ENSG00000261071),280,0.0
RP1-261D10.2 (ENSG00000259146),281,0.0
RP1-292L20.3 (ENSG00000274818),282,0.0
FGF4 (ENSG00000075388),283,0.0
FGF23 (ENSG00000118972),284,0.0
FGF22 (ENSG00000070388),285,0.0
FGF21 (ENSG00000105550),286,0.0
RP1-293L8.2 (ENSG00000224506),287,0.0
RP1-193H18.2 (ENSG00000267194),288,0.0
FIBP (ENSG00000172500),289,0.0
FICD (ENSG00000198855),290,0.0
RNF7 (ENSG00000114125),291,0.0
FLII (ENSG00000177731),292,0.0
RNF20 (ENSG00000155827),293,0.0
RNF212B (ENSG00000215277),294,0.0
FLAD1 (ENSG00000160688),295,0.0
FKRP (ENSG00000181027),296,0.0
FKBPL (ENSG00000204315),297,0.0
RNF213 (ENSG00000173821),298,0.0
RNF214 (ENSG00000167257),299,0.0
RNF220 (ENSG00000187147),300,0.0
FKBP5 (ENSG00000096060),301,0.0
FKBP4 (ENSG00000004478),302,0.0
FKBP3 (ENSG00000100442),303,0.0
FKBP2 (ENSG00000173486),304,0.0
FKBP1C (ENSG00000198225),305,0.0
FKBP1B (ENSG00000119782),306,0.0
FKBP1A (ENSG00000088832),307,0.0
RNF26 (ENSG00000173456),308,0.0
RNF34 (ENSG00000170633),309,0.0
FKBP11 (ENSG00000134285),310,0.0
RNF38 (ENSG00000137075),311,0.0
FIZ1 (ENSG00000179943),312,0.0
FITM2 (ENSG00000197296),313,0.0
